loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,default_ind
5000,5000,4975,36,10.65,162.87,B,B2,10+ years,RENT,24000,Verified,n,credit_card,AZ,27.65,0,1,,,3,0,13648,83.7,9,f,0,0,5861.071414,5831.78,5000,861.07,0,0,0,171.62,0,,INDIVIDUAL,0
2500,2500,2500,60,15.27,59.83,C,C4,< 1 year,RENT,30000,Source Verified,n,car,GA,1,0,5,,,3,0,1687,9.4,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,119.66,0,,INDIVIDUAL,1
2400,2400,2400,36,15.96,84.33,C,C5,10+ years,RENT,12252,Not Verified,n,small_business,IL,8.72,0,2,,,2,0,2956,98.5,10,f,0,0,3003.653644,3003.65,2400,603.65,0,0,0,649.91,0,,INDIVIDUAL,0
10000,10000,10000,36,13.49,339.31,C,C1,10+ years,RENT,49200,Source Verified,n,other,CA,20,0,1,35,,10,0,5598,21,37,f,0,0,12226.30221,12226.3,10000,2209.33,16.97,0,0,357.48,0,,INDIVIDUAL,0
3000,3000,3000,60,12.69,67.79,B,B5,1 year,RENT,80000,Source Verified,n,other,OR,17.94,0,0,38,,15,0,27783,53.9,38,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0,0,0,67.79,0,,INDIVIDUAL,0
5000,5000,5000,36,7.9,156.46,A,A4,3 years,RENT,36000,Source Verified,n,wedding,AZ,11.2,0,3,,,9,0,7963,28.3,12,f,0,0,5631.377753,5631.38,5000,631.38,0,0,0,161.03,0,,INDIVIDUAL,0
7000,7000,7000,60,15.96,170.08,C,C5,8 years,RENT,47004,Not Verified,n,debt_consolidation,NC,23.51,0,1,,,7,0,17726,85.6,11,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0,0,0,170.08,0,,INDIVIDUAL,0
3000,3000,3000,36,18.64,109.43,E,E1,9 years,RENT,48000,Source Verified,n,car,CA,5.35,0,2,,,4,0,8221,87.5,4,f,0,0,3938.144334,3938.14,3000,938.14,0,0,0,111.34,0,,INDIVIDUAL,0
5600,5600,5600,60,21.28,152.39,F,F2,4 years,OWN,40000,Source Verified,n,small_business,CA,5.55,0,2,,,11,0,5210,32.6,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,152.39,0,,INDIVIDUAL,1
5375,5375,5350,60,12.69,121.45,B,B5,< 1 year,RENT,15000,Verified,n,other,TX,18.08,0,0,,,2,0,9279,36.5,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,121.45,0,,INDIVIDUAL,1
6500,6500,6500,60,14.65,153.45,C,C3,5 years,OWN,72000,Not Verified,n,debt_consolidation,AZ,16.12,0,2,,,14,0,4032,20.6,23,f,0,0,7677.52,7677.52,6500,1177.52,0,0,0,1655.54,0,,INDIVIDUAL,0
12000,12000,12000,36,12.69,402.54,B,B5,10+ years,OWN,75000,Source Verified,n,debt_consolidation,CA,10.78,0,0,,,12,0,23336,67.1,34,f,0,0,13943.08,13943.08,12000,1943.08,0,0,0,6315.3,0,,INDIVIDUAL,0
